Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],VM
1372645105,2,5851.99868,25.3586615533,0.4333333333,4177920.0,100661.6,0.0,1.4,0.0,0.0,401
1372644505,4,11703.996968,147.3626353553,1.2666666667,12525568.0,560742.4,0.0,18.7333333333,4.3333333333,0.0666666667,231
1372644205,1,2925.999406,0.0,0.0,1033216.0,13280.0,0.0,0.0,0.0,0.0,223
1372634604,4,9599.998826,149.399982288,1.6166666667,3115008.0,44739.2,0.0,6.6666666667,0.3333333333,0.0,417
1372630704,1,2925.999428,21.457329308,0.7333333333,167220.0,74314.6666666667,0.0,0.3333333333,0.1333333333,0.0666666667,477
1372635203,1,2599.999628,39.8666618287,1.4666666667,4194304.0,98807.2,0.0,11.8666666667,7.2666666667,4.4666666667,177
1372633104,1,2925.999208,0.0,0.0,4194304.0,103456.5333333333,0.0,0.2666666667,0.0,0.0,214
1372633104,2,5199.999234,275.7332797387,5.4333333333,8255488.0,201326.4,0.0,38.6666666667,22.6666666667,22.0,87
1372640904,8,20799.995016,71.066648244,0.3416666667,32604944.0,0.0,0.0,0.6,0.0,1.0,69
1372645105,8,20799.99376,81.4666455933,0.3916666667,40751104.0,0.0,0.0,1.9333333333,0.0,1.0,76
1372640604,4,11703.997976,412.309255632,3.4833333333,16777216.0,4327952.8,406.6,408.7333333333,14.9333333333,153.2666666667,313
1372641504,2,5851.99912,377.4666135,6.7333333333,8351744.0,1048569.0666666668,0.0,11.1333333333,0.0,0.0,306
1372640304,1,2925.999428,0.0,0.0,1033216.0,25163.4666666667,0.0,0.0,0.0,0.0,221
1372636703,4,11703.998064,29.25999516,0.25,16777216.0,67108.8,0.0,0.5333333333,0.2,1.0,185
1372646005,1,2599.999691,0.0,0.0,262144.0,29459.4666666667,0.0,0.0,1.6666666667,1.6,369
1372630104,8,20799.994464,67.599980642,0.325,40802304.0,0.0,0.0,0.6666666667,0.0,1.0,69
1372635803,2,5851.99912,140.4933098133,2.3666666667,8351744.0,583633.6,0.0,18.6,0.6,0.6,304
1372640904,4,11703.998152,291.012896248,2.55,16703488.0,150994.4,0.0,12.1333333333,4.5333333333,0.0,113
1372629804,8,20799.997072,77.99998902,0.375,40751104.0,282013.0666666667,0.0,1.0,0.0,1.0,60
1372638804,1,2925.99956,48.7666592,1.6666666667,1048576.0,174342.6666666667,0.2,8.8666666667,0.5333333333,1.5333333333,331
1372643305,1,2699.999644,19.599997322,0.7,4194304.0,213508.8,0.0,5.8666666667,0.2666666667,0.2,247
1372641504,8,20799.994368,415.99987446,2.0666666667,32605188.0,258650.4,0.0,35.8,1.0,0.0,246
1372643005,1,2925.999516,0.0,0.0,4194304.0,111846.1333333333,0.0,1.4,0.0,0.0,492
1372633104,2,5851.99868,29.2599934,0.5,4177920.0,23487.2,0.0,1.2666666667,0.0,0.0,403
1372637304,1,2925.999538,329.7386332107,11.5333333333,522208.0,39845.3333333333,0.0,0.5333333333,321.5333333333,321.5333333333,360
1372635803,1,2925.999516,0.0,0.0,522240.0,23766.4,0.0,0.0,0.0,0.0,365
1372639704,2,5851.99868,11.703997712,0.2,1734656.0,69345.6,0.0,2.0,0.2666666667,0.0,277
1372637904,8,20799.996984,71.0666565627,0.3416666667,32608256.0,33554.4,0.0,0.8,0.0,1.0,66
1372633704,1,2925.999717,31.2106639143,1.0666666667,97428.0,30758.4,0.0,0.2666666667,0.0,0.0,471
1372639104,4,11703.996804,234.07993444,2.0,16703488.0,346728.8,0.0,12.0,4.4666666667,0.0,108
1372636403,2,5851.998944,29.25999494,0.5,4177920.0,100661.6,0.0,2.3333333333,0.0,0.0666666667,403
1372635503,2,5199.999224,0.0,0.0,4059136.0,129345.6,0.0,0.0,0.0,0.0,161
1372645105,8,20799.991752,69.33330344,0.3333333333,32606456.0,156587.2,0.0,0.8666666667,0.0,1.0,76
1372637604,1,2925.999538,0.0,0.0,522240.0,5591.4666666667,0.0,0.0,0.0,0.0,353
1372631604,4,10399.998444,103.99998444,1.0,10102784.0,335544.0,0.0,3.0666666667,2.0,4.6666666667,260
1372633104,4,11703.996968,233.066618488,1.9833333333,16703488.0,156587.2,0.0,12.3333333333,4.4,0.0666666667,105
1372636703,1,2925.999516,0.0,0.0,2082816.0,36348.0,0.0,0.8,0.0,0.0,302
1372630704,4,11703.998152,33.1613276293,0.2833333333,16777216.0,0.0,0.0,0.6666666667,0.0,1.0,186
1372633104,1,2925.999406,0.0,0.0,288996.0,12232.8,0.0,0.0,0.0,0.0,365
1372632504,4,9599.998916,3515.3328976827,37.4333333333,3141632.0,562268.0,0.0,5918.5333333333,377.7333333333,235.5333333333,392
1372640004,1,2599.999443,25.99999443,1.0,4194304.0,78291.4666666667,0.0,6.8,0.0,0.0,248
1372640904,8,20799.995016,83.199978248,0.4,32603320.0,0.0,0.0,0.6666666667,0.0,1.0,65
1372645405,1,2699.999644,35.99999523,1.4,113696.0,51546.6666666667,0.0,1.0,0.2,0.2,462
1372638204,8,19199.997152,3099.4657087567,15.8833333333,16777216.0,1342176.0,0.0,2.3333333333,0.2666666667,2.3333333333,421
1372631304,1,2925.999516,132.645309392,4.7333333333,100368.0,43364.0,0.0,1.2,0.4,0.3333333333,479
1372642104,1,2660.027136,0.0,0.0,524288.0,28376.5333333333,0.0,10.3333333333,1.5333333333,1.5333333333,288
1372634004,4,10399.998476,4118.399452258,40.7666666667,16777216.0,1645501.6,0.0666666667,86.3333333333,21.9333333333,25.8,269
1372632204,4,11703.998152,237.82662496,2.0666666667,24518656.0,1957367.2,0.0,43.8,1.0666666667,0.0,33
1372645405,8,20799.99376,77.9999766,0.375,40802304.0,0.0,0.0,0.8,0.0,1.0,67
1372644505,1,2599.999296,0.0,0.0,188420.0,7216.8,0.0,0.0,0.0,0.0,368
1372636703,1,2925.99956,29.2599956,1.0,1048576.0,102076.8,0.4,7.1333333333,0.4,1.2666666667,331
1372642404,1,2660.027136,26.60027136,1.0,1048412.0,52163.2,0.0,0.8,0.0,0.0,215
1372646905,2,5199.999224,103.99998448,2.0,8388608.0,524269.6,2.8,5.9333333333,2.0,4.2666666667,496
1372646605,1,2925.999428,36.163992204,1.2,1454032.0,59753.0666666667,0.0,9.0,0.0,0.0,217
1372632504,1,2925.999516,109.734641176,3.9333333333,45860.0,103535.4666666667,0.0,0.1333333333,292.6666666667,292.6666666667,370
1372632804,8,19199.997072,856.1331755167,4.5416666667,3139584.0,425081.0666666667,54.4,3168.6666666667,167.0666666667,176.6666666667,408
1372640004,4,10399.997276,103.99997276,1.0,10203504.0,246062.4,0.0,3.8,0.0,0.0,255
1372639404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
1372643905,1,2925.99956,15.6053309867,0.5333333333,127068.0,36590.4,0.0,1.0666666667,1.9333333333,1.8,463
1372634604,1,2660.027152,0.0,0.0,524288.0,62727.7333333333,0.0,5.2666666667,0.0,0.0,289
1372644205,1,2925.99923,29.2599923,1.0,1048576.0,46136.8,0.0,2.0666666667,0.0,1.1333333333,302
1372644805,4,11703.996968,234.07993836,2.0,16703488.0,33554.4,0.0,11.8666666667,4.4,0.0,107
1372640904,8,20799.995544,413.199910264,2.075,41943040.0,5283597.866666667,0.0,3.0666666667,2.1333333333,2.2666666667,261
1372637604,1,2599.99936,51.9999876,2.0,1048576.0,114643.7333333333,0.0,7.8666666667,2.0,4.1333333333,290
1372637304,1,2925.999242,0.0,0.0,4194304.0,74404.2666666667,0.0,0.2,0.0,0.0,184
1372632804,1,2699.99866,28.79998624,1.0666666667,113696.0,59750.4,0.0,0.3333333333,0.0,0.0,438
1372646905,2,5851.998636,0.0,0.0,8388608.0,74910.4,0.0,12.3333333333,0.0,0.0666666667,30
1372638804,1,2925.999318,0.0,0.0,2097152.0,63192.0,0.0,5.6,0.0,0.0,335
1372634004,2,5851.999032,29.25999516,0.5,1734656.0,136317.3333333333,0.4,0.4,0.2,0.2,218
1372631604,4,10399.996024,208.2665851007,1.9833333333,16703488.0,419430.4,0.0,11.9333333333,4.5333333333,0.0,115
1372644805,4,10399.997232,447.733235176,4.2333333333,16705536.0,1957343.7333333327,67.7333333333,41.8,0.2666666667,0.5333333333,259
1372633704,8,20799.991752,71.066637944,0.3416666667,40747008.0,0.0,0.0,0.5333333333,0.0,1.0,65
1372640304,2,5199.997934,115.8666039707,2.2666666667,8267776.0,512388.2666666666,0.0,21.5333333333,16.7333333333,0.1333333333,86
